Date;Open;High;Low;Close;predict;predict_pct;entrada;saida;profit;sucesso;subida
2020-01-16;98,75;102,89199829101562;98,43399810791016;102,697998046875;104,15061105584584;0,01414451144712503;;;0,0;True;
2020-01-17;101,52200317382812;103,13400268554688;100,63200378417969;102,0999984741211;103,05920885040597;0,009394812836632793;101,52200317382812;102,0999984741211;0,005693300784297195;True;True
2020-01-21;106,05000305175781;109,71600341796875;105,68199920654297;109,44000244140625;102,39501153996191;-0,06437308794118679;102,29109445611387;109,44000244140625;0,06988788245255795;True;True
2020-01-22;114,37799835205078;118,9000015258789;111,81999969482422;113,91200256347656;109,9875420276604;-0,03445168592861225;;;0,0;True;
2020-01-23;112,8499984741211;116,4000015258789;111,12000274658203;114,44000244140625;114,54505994741794;0,0009180138393083404;;;0,0;True;
2020-01-24;114,1259994506836;114,77200317382812;110,85199737548828;112,96399688720703;114,96846660695769;0,017744323633945847;;;0,0;True;
2020-01-27;108,39800262451172;112,88800048828125;107,85600280761719;111,60399627685547;113,51107744221467;0,01708792900774192;108,39800262451172;111,60399627685547;0,029576132167759894;True;True
2020-01-28;113,697998046875;115,36199951171875;111,61599731445312;113,37999725341797;112,1894408704241;-0,010500585745586433;112,66506384025185;113,37999725341797;0,006345653113726701;True;True
2020-01-29;115,13800048828125;117,95999908447266;113,48600006103516;116,197998046875;114,05595188507166;-0,018434449799550112;;;0,0;True;
2020-01-30;126,48400115966797;130,17599487304688;123,5999984741211;128,16200256347656;116,90325115604334;-0,08784781122514795;;;0,0;True;
2020-01-31;128,0;130,60000610351562;126,50399780273438;130,11399841308594;129,17839784896339;-0,007190621881837833;;;0,0;True;
2020-02-03;134,73800659179688;157,22799682617188;134,70399475097656;156,0;130,93700007649306;-0,16066025591991628;;;0,0;True;
2020-02-04;176,5919952392578;193,79800415039062;166,7760009765625;177,41200256347656;158,03568627780447;-0,1092164904611761;;;0,0;True;
2020-02-05;164,65199279785156;169,1959991455078;140,82200622558594;146,94000244140625;184,42897211062675;0,2551311354725858;;;0,0;True;
2020-02-06;139,98399353027344;159,16600036621094;137,39999389648438;149,79200744628906;145,7806078159497;-0,02677979752543025;139,98399353027344;149,79200744628906;0,07006525295261357;True;True
2020-02-07;146,11000061035156;153,9499969482422;146,0;149,61399841308594;156,4456534484118;0,04566187059892335;;;0,0;True;
2020-02-10;160,0;163,9980010986328;150,47999572753906;154,25599670410156;150,1745805693154;-0,026458719414424237;155,27964257292967;154,25599670410156;-0,006592273474272936;False;False
2020-02-11;153,75799560546875;156,70199584960938;151,60000610351562;154,87600708007812;156,18859623353057;0,008475096809370752;;;0,0;True;
2020-02-12;155,57400512695312;157,9499969482422;152,6739959716797;153,45799255371094;156,09055729095465;0,017154953570256648;155,02450124066686;153,45799255371094;-0,010104910349132523;False;False
2020-02-13;148,3679962158203;163,60000610351562;147,0;160,8000030517578;155,05816371042417;-0,035707955425134386;148,3679962158203;160,8000030517578;0,08379170139801273;True;True
2020-02-14;157,44400024414062;162,593994140625;157,10000610351562;160,00599670410156;162,48092603795743;0,015467728615401466;;;0,0;True;
2020-02-18;168,32000732421875;172,0;166,4720001220703;171,67999267578125;160,98479858993505;-0,062297265506319865;161,2699334495239;171,67999267578125;0,06455052720360688;True;True
2020-02-19;184,6999969482422;188,95599365234375;180,20399475097656;183,48399353027344;173,3139986778143;-0,05542715011149546;;;0,0;True;
2020-02-20;182,38999938964844;182,39999389648438;171,98800659179688;179,8820037841797;184,36835060392667;0,02494049835652068;;;0,0;True;
2020-02-21;181,39599609375;182,61199951171875;176,08999633789062;180,1999969482422;181,08180918420925;0,004893519705332361;181,39599609375;180,1999969482422;-0,006593305096379787;False;False
2020-02-24;167,8000030517578;172,6999969482422;164,44000244140625;166,75799560546875;182,9104781878061;0,09686181777185876;;;0,0;True;
2020-02-25;169,8000030517578;171,32000732421875;157,39999389648438;159,98199462890625;168,9091947690332;0,05580128039304966;169,8000030517578;159,98199462890625;-0,05782101440751375;False;False
2020-02-26;156,5;162,66200256347656;155,2220001220703;155,75999450683594;162,6185774289698;0,04403301979978469;156,5;155,75999450683594;-0,004728469604882157;False;False
2020-02-27;146,0;147,95399475097656;133,8000030517578;135,8000030517578;157,05745818954685;0,1565350122244631;146,0;135,8000030517578;-0,06986299279617936;False;False
2020-02-28;125,94000244140625;138,10400390625;122,30400085449219;133,59800720214844;134,58911592887637;0,007418589150272936;125,94000244140625;133,59800720214844;0,0608067699879955;True;True
2020-03-02;142,2519989013672;148,73800659179688;137,33399963378906;148,7239990234375;133,83562545598207;-0,1001074047579178;;;0,0;True;
2020-03-03;161,0;161,39599609375;143,2220001220703;149,1020050048828;148,7369933166943;-0,002448066933617321;;;0,0;True;
2020-03-04;152,79200744628906;153,3040008544922;144,9459991455078;149,89999389648438;148,4526270241858;-0,009655549908147876;;;0,0;True;
2020-03-05;144,75399780273438;149,14999389648438;143,61399841308594;144,9080047607422;151,39984108396771;0,04479970815928502;;;0,0;True;
2020-03-06;138,0;141,39999389648438;136,85400390625;140,6959991455078;144,78305963390503;0,029048874973128136;138,0;140,6959991455078;0,019536225692085685;True;True
2020-03-09;121,0780029296875;132,60000610351562;121,0;121,5999984741211;141,29646530882272;0,16197752534424104;121,0780029296875;121,5999984741211;0,004311233517261925;True;True
