Date;Open;High;Low;Close;predict;predict_pct;entrada;saida;profit_05;sucesso;subida
2016-01-20;1876,1800537109375;1876,1800537109375;1812,2900390625;1859,3299560546875;1882,1354913244952;0,012265458960387443;;;0,0;True;
2016-01-21;1861,4599609375;1889,8499755859375;1848,97998046875;1868,989990234375;1864,7819385711182;-0,002251511075631374;1861,4599609375;1868,989990234375;0,004045227646520377;True;True
2016-01-22;1877,4000244140625;1908,8499755859375;1877,4000244140625;1906,9000244140625;1865,0118966826133;-0,02196660925856364;;;0,0;True;
2016-01-25;1906,280029296875;1906,280029296875;1875,969970703125;1877,0799560546875;1898,932173843325;0,011641602009627272;;;0,0;True;
2016-01-26;1878,7900390625;1906,72998046875;1878,7900390625;1903,6300048828125;1892,8676301054975;-0,005653606399200206;1878,7900390625;1903,6300048828125;0,013221256928053204;True;True
2016-01-27;1902,52001953125;1916,989990234375;1872,699951171875;1882,949951171875;1895,0300025528222;0,006415492548502932;;;0,0;True;
2016-01-28;1885,219970703125;1902,9599609375;1873,6500244140625;1893,3599853515625;1888,686967630339;-0,002468108419622972;1885,219970703125;1893,3599853515625;0,00431780629047851;True;True
2016-01-29;1894,0;1940,239990234375;1894,0;1940,239990234375;1894,0088079394448;-0,02382755871831388;;;0,0;True;
2016-02-01;1936,93994140625;1947,199951171875;1920,300048828125;1939,3800048828125;1928,307249276349;-0,005709430631740786;;;0,0;True;
2016-02-02;1935,260009765625;1935,260009765625;1897,2900390625;1903,030029296875;1953,3123270971944;0,026422230351718312;;;0,0;True;
2016-02-03;1907,0699462890625;1918,010009765625;1872,22998046875;1912,530029296875;1908,2672383032511;-0,0022288753265699013;1907,0699462890625;1912,530029296875;0,0028630743295163796;True;True
2016-02-04;1911,6700439453125;1927,3499755859375;1900,52001953125;1915,449951171875;1907,9112142269394;-0,003935752505735524;;;0,0;True;
2016-02-05;1913,0699462890625;1913,0699462890625;1872,6500244140625;1880,050048828125;1912,3139950111288;0,017161216640543486;;;0,0;True;
2016-02-08;1873,25;1873,25;1828,4599609375;1853,43994140625;1891,986864998071;0,020797503458663158;1873,25;1853,43994140625;-0,010575234802482347;False;False
2016-02-09;1848,4599609375;1868,25;1834,93994140625;1852,2099609375;1849,3227595691167;-0,0015587873023433785;1848,4599609375;1852,2099609375;0,0020287158387233273;True;True
2016-02-10;1857,0999755859375;1881,5999755859375;1850,3199462890625;1851,8599853515625;1850,0277177201524;-0,0009894201753392062;;;0,0;True;
2016-02-11;1847,0;1847,0;1810,0999755859375;1829,0799560546875;1849,4155746206184;0,011117949490734524;;;0,0;True;
2016-02-12;1833,4000244140625;1864,780029296875;1833,4000244140625;1864,780029296875;1836,0131522397446;-0,015426418454286606;1833,4000244140625;1864,780029296875;0,01711574368111024;True;True
2016-02-16;1871,43994140625;1895,77001953125;1871,43994140625;1895,5799560546875;1854,5878761094482;-0,021625086198187593;;;0,0;True;
2016-02-17;1898,800048828125;1930,6800537109375;1898,800048828125;1926,8199462890625;1895,9845233139927;-0,016003271626109594;;;0,0;True;
2016-02-18;1927,5699462890625;1930,0;1915,0899658203125;1917,8299560546875;1930,5751381347106;0,0066456267615311315;;;0,0;True;
2016-02-19;1916,739990234375;1918,780029296875;1902,1700439453125;1917,780029296875;1923,6110909438826;0,003040526837243984;1916,739990234375;1917,780029296875;0,0005426083181854224;True;True
2016-02-22;1924,43994140625;1946,699951171875;1924,43994140625;1945,5;1920,9579172651727;-0,012614794518029937;;;0,0;True;
2016-02-23;1942,3800048828125;1942,3800048828125;1919,43994140625;1921,27001953125;1937,709475769277;0,008556556897732603;;;0,0;True;
2016-02-24;1917,56005859375;1932,0799560546875;1891,0;1929,800048828125;1933,072923241155;0,0016959655561297193;1917,56005859375;1929,800048828125;0,006383106583556675;True;True
2016-02-25;1931,8699951171875;1951,8299560546875;1925,4100341796875;1951,699951171875;1925,5714854407945;-0,013387542339892922;;;0,0;True;
2016-02-26;1954,949951171875;1962,9599609375;1945,780029296875;1948,050048828125;1948,0571709821027;3,656042606214882e-06;;;0,0;True;
2016-02-29;1947,1300048828125;1958,27001953125;1931,81005859375;1932,22998046875;1954,891267971035;0,01172804879923639;;;0,0;True;
2016-03-01;1937,0899658203125;1978,3499755859375;1937,0899658203125;1978,3499755859375;1934,669016354444;-0,022079490368510868;1937,0899658203125;1978,3499755859375;0,021299996641174213;True;True
2016-03-02;1976,5999755859375;1986,510009765625;1968,800048828125;1986,449951171875;1969,8191809100178;-0,00837210635588681;;;0,0;True;
2016-03-03;1985,5999755859375;1993,68994140625;1977,3699951171875;1993,4000244140625;1990,1995749313678;-0,0016055229474754018;;;0,0;True;
