,open,high,low,close,adjclose,volume,ticker
2020-01-02,53.97999954223633,54.439998626708984,53.75,54.33000183105469,52.150001525878906,17509700.0,VALE3.SA
2020-01-03,53.68000030517578,54.5,53.58000183105469,53.93000030517578,51.766048431396484,17284800.0,VALE3.SA
2020-01-06,53.79999923706055,53.79999923706055,53.150001525878906,53.61000061035156,51.45888900756836,32787800.0,VALE3.SA
2020-01-07,53.5,54.189998626708984,53.400001525878906,54.0,51.8332405090332,16326400.0,VALE3.SA
2020-01-08,54.20000076293945,54.369998931884766,53.619998931884766,54.0099983215332,51.842838287353516,15298500.0,VALE3.SA
2020-01-09,53.75,53.869998931884766,53.04999923706055,53.29999923706055,51.16132736206055,14638000.0,VALE3.SA
2020-01-10,53.75,53.869998931884766,53.11000061035156,53.36000061035156,51.21892166137695,9129200.0,VALE3.SA
2020-01-13,53.63999938964844,55.63999938964844,53.5099983215332,55.29999923706055,53.081077575683594,27497400.0,VALE3.SA
2020-01-14,55.29999923706055,56.349998474121094,55.0,55.63999938964844,53.407432556152344,27817000.0,VALE3.SA
2020-01-15,55.29999923706055,56.08000183105469,55.11000061035156,55.459999084472656,53.234657287597656,21425300.0,VALE3.SA
2020-01-16,55.599998474121094,55.95000076293945,55.099998474121094,55.16999816894531,52.95629119873047,13149100.0,VALE3.SA
2020-01-17,56.25,57.09000015258789,56.099998474121094,57.0,54.71286392211914,36524100.0,VALE3.SA
2020-01-20,57.0,57.36000061035156,56.529998779296875,57.36000061035156,55.05841827392578,16746300.0,VALE3.SA
2020-01-21,56.79999923706055,57.0099983215332,55.7400016784668,56.029998779296875,53.78178405761719,25436800.0,VALE3.SA
2020-01-22,56.599998474121094,56.849998474121094,56.060001373291016,56.29999923706055,54.040950775146484,17269400.0,VALE3.SA
2020-01-23,55.43000030517578,55.72999954223633,54.709999084472656,55.5,53.27305221557617,23028900.0,VALE3.SA
2020-01-24,55.619998931884766,55.72999954223633,53.689998626708984,53.79999923706055,51.641265869140625,19744800.0,VALE3.SA
2020-01-27,51.65999984741211,51.81999969482422,50.47999954223633,50.5099983215332,48.4832763671875,38779700.0,VALE3.SA
2020-01-28,51.20000076293945,52.09000015258789,51.08000183105469,51.20000076293945,49.145591735839844,23046400.0,VALE3.SA
2020-01-29,51.70000076293945,51.88999938964844,50.459999084472656,50.75,48.713645935058594,23323000.0,VALE3.SA
2020-01-30,49.970001220703125,51.5,49.79999923706055,51.5,49.43355178833008,23083200.0,VALE3.SA
2020-01-31,50.959999084472656,51.060001373291016,49.79999923706055,50.27000045776367,48.252906799316406,29988200.0,VALE3.SA
