,open,high,low,close,adjclose,volume,ticker
2019-01-02,22.549999237060547,24.200000762939453,22.280000686645508,24.059999465942383,23.284786224365234,104534800.0,PETR4.SA
2019-01-03,23.959999084472656,24.81999969482422,23.799999237060547,24.649999618530273,23.855777740478516,95206400.0,PETR4.SA
2019-01-04,24.850000381469727,24.940000534057617,24.469999313354492,24.719999313354492,23.923521041870117,72119800.0,PETR4.SA
2019-01-07,24.850000381469727,25.920000076293945,24.700000762939453,25.110000610351562,24.30095672607422,121711900.0,PETR4.SA
2019-01-08,25.399999618530273,25.420000076293945,24.770000457763672,24.959999084472656,24.155786514282227,68761800.0,PETR4.SA
2019-01-09,25.299999237060547,25.5,25.149999618530273,25.479999542236328,24.659034729003906,70177600.0,PETR4.SA
2019-01-10,25.260000228881836,25.40999984741211,25.06999969482422,25.260000228881836,24.446121215820312,54763700.0,PETR4.SA
2019-01-11,25.149999618530273,25.190000534057617,24.84000015258789,24.989999771118164,24.18482208251953,53980700.0,PETR4.SA
2019-01-14,24.81999969482422,25.09000015258789,24.65999984741211,24.850000381469727,24.049331665039062,46577300.0,PETR4.SA
2019-01-15,24.829999923706055,25.1200008392334,24.700000762939453,24.829999923706055,24.029977798461914,53731500.0,PETR4.SA
2019-01-16,24.799999237060547,24.899999618530273,24.65999984741211,24.81999969482422,24.02029800415039,40425000.0,PETR4.SA
2019-01-17,24.75,25.299999237060547,24.68000030517578,25.15999984741211,24.349348068237305,50359400.0,PETR4.SA
2019-01-18,25.440000534057617,25.559999465942383,25.280000686645508,25.399999618530273,24.58160972595215,67021300.0,PETR4.SA
2019-01-21,25.309999465942383,25.530000686645508,25.100000381469727,25.530000686645508,24.707422256469727,45336500.0,PETR4.SA
2019-01-22,25.260000228881836,25.5,25.020000457763672,25.1299991607666,24.320308685302734,61307000.0,PETR4.SA
2019-01-23,25.329999923706055,25.540000915527344,25.15999984741211,25.43000030517578,24.610645294189453,52931600.0,PETR4.SA
2019-01-24,25.399999618530273,25.540000915527344,25.31999969482422,25.540000915527344,24.717100143432617,40109000.0,PETR4.SA
2019-01-28,25.290000915527344,25.530000686645508,24.739999771118164,24.770000457763672,23.971912384033203,65079900.0,PETR4.SA
2019-01-29,25.25,25.559999465942383,25.110000610351562,25.3700008392334,24.552579879760742,59419200.0,PETR4.SA
2019-01-30,25.809999465942383,25.93000030517578,25.469999313354492,25.6200008392334,24.794523239135742,62607500.0,PETR4.SA
2019-01-31,25.8700008392334,25.959999084472656,25.559999465942383,25.579999923706055,24.755813598632812,63253600.0,PETR4.SA
2019-02-01,25.5,25.850000381469727,25.3700008392334,25.799999237060547,24.968725204467773,47957400.0,PETR4.SA
2019-02-04,25.84000015258789,26.1200008392334,25.600000381469727,26.030000686645508,25.191312789916992,53874900.0,PETR4.SA
2019-02-05,25.90999984741211,26.100000381469727,25.809999465942383,26.079999923706055,25.239702224731445,40989100.0,PETR4.SA
2019-02-06,25.799999237060547,25.84000015258789,25.31999969482422,25.489999771118164,24.668712615966797,64527000.0,PETR4.SA
2019-02-07,25.600000381469727,25.850000381469727,24.65999984741211,25.09000015258789,24.281600952148438,55614100.0,PETR4.SA
2019-02-08,24.799999237060547,25.280000686645508,24.729999542236328,25.1299991607666,24.320308685302734,40153900.0,PETR4.SA
2019-02-11,25.170000076293945,25.170000076293945,24.540000915527344,24.84000015258789,24.039655685424805,39617300.0,PETR4.SA
2019-02-12,25.31999969482422,25.850000381469727,25.229999542236328,25.719999313354492,24.89130210876465,72467200.0,PETR4.SA
2019-02-13,26.020000457763672,26.209999084472656,25.850000381469727,26.049999237060547,25.210668563842773,69042200.0,PETR4.SA
2019-02-14,26.170000076293945,26.950000762939453,26.0,26.950000762939453,26.0816707611084,81125500.0,PETR4.SA
2019-02-15,26.860000610351562,27.020000457763672,26.709999084472656,26.84000015258789,25.975215911865234,63841800.0,PETR4.SA
