,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2019-09-12,26.860000610351562,27.139999389648438,26.639999389648438,27.059999465942383,26.51253318786621,41028300.0,PETR4.SA,15.700671,15.338866233825684,0.0,10.811861991882324
2019-09-24,27.420000076293945,27.540000915527344,27.149999618530273,27.270000457763672,26.718284606933594,36643400.0,PETR4.SA,25.814852,25.083091735839844,0.0,0.9034328460693359
2019-09-25,27.030000686645508,27.350000381469727,26.780000686645508,27.34000015258789,26.786869049072266,29038400.0,PETR4.SA,20.511614,19.309999465942383,0.0,6.27525520324707
2019-10-02,27.219999313354492,27.260000228881836,26.610000610351562,26.719999313354492,26.179412841796875,51261200.0,PETR4.SA,18.340765,17.399654388427734,0.0,7.838647842407227
2019-10-15,27.309999465942383,27.8799991607666,27.309999465942383,27.600000381469727,27.041608810424805,30455300.0,PETR4.SA,27.040497,25.88811492919922,0.0,0.0011119842529296875
2019-10-22,27.799999237060547,28.68000030517578,27.770000457763672,28.56999969482422,27.99198341369629,64228700.0,PETR4.SA,22.114754,22.64954948425293,0.0,5.877229690551758
2019-10-28,29.219999313354492,29.65999984741211,29.1200008392334,29.600000381469727,29.00114631652832,37461800.0,PETR4.SA,14.342955,14.318940162658691,0.0,14.658191680908203
2019-11-11,29.850000381469727,30.450000762939453,29.790000915527344,30.450000762939453,29.833948135375977,30570500.0,PETR4.SA,29.006536,28.447896957397457,0.0,0.8274116516113281
2019-11-12,30.040000915527344,30.610000610351562,30.010000228881836,30.020000457763672,29.608016967773438,41655600.0,PETR4.SA,28.659683,28.927860260009766,0.0,0.948333740234375
2019-11-27,29.350000381469727,29.649999618530273,29.139999389648438,29.329999923706055,28.927486419677734,33072500.0,PETR4.SA,28.129131,27.097839355468746,0.0,0.7983551025390625
2019-12-09,30.299999237060547,30.479999542236328,30.1200008392334,30.209999084472656,29.79541015625,34694100.0,PETR4.SA,17.837492,17.249656677246094,0.0,11.957918167114258
2019-12-17,29.639999389648438,29.899999618530273,29.43000030517578,29.850000381469727,29.440349578857422,40679900.0,PETR4.SA,28.955362,29.917787551879886,-0.4849872589111328,0.0
