Date,Open,High,Low,target,Volume,target_0,true_target_0,buy_profit,sell_profit
2020-10-30,61.79999923706055,62.40999984741211,60.0099983215332,60.54999923706055,27476200,66.43879,60.549999237060554,5.888790130615234,0
2020-11-03,61.900001525878906,63.34000015258789,61.220001220703125,63.34000015258789,32900800,66.46867,63.34000015258789,0.0,0
2020-11-04,63.279998779296875,63.279998779296875,61.45000076293945,61.58000183105469,27932100,66.50748,61.580001831054695,4.9274749755859375,0
2020-11-05,62.29999923706055,63.060001373291016,61.45000076293945,62.54999923706055,25563600,66.54441,62.54999923706055,0.0,0
2020-11-06,62.380001068115234,63.959999084472656,62.34000015258789,63.34000015258789,21039200,66.59588,63.34000015258789,0.0,0
2020-11-09,64.1500015258789,64.2699966430664,62.869998931884766,63.189998626708984,37728900,66.71287,63.189998626708984,0.0,0
2020-11-10,63.2400016784668,63.59000015258789,62.689998626708984,63.15999984741211,53960600,66.88017,63.15999984741212,3.720172882080078,0
2020-11-11,63.18000030517578,63.91999816894531,63.0,63.599998474121094,25908500,67.03307,63.599998474121094,0.0,0
2020-11-12,63.56999969482422,63.77000045776367,62.459999084472656,62.66999816894531,23726500,67.1603,62.66999816894531,0.0,0
2020-11-13,62.72999954223633,63.54999923706055,62.61000061035156,63.15999984741211,18662400,67.24863,63.15999984741212,4.088626861572266,0
2020-11-16,63.5,65.33999633789062,62.970001220703125,64.91999816894531,91477900,67.47789,64.91999816894531,0.0,0
2020-11-17,64.80000305175781,68.0999984741211,64.80000305175781,66.97000122070312,62475900,67.81238,66.97000122070312,0.0,0
2020-11-18,66.98999786376953,67.38999938964844,66.06999969482422,66.44999694824219,22854400,68.16969,66.44999694824219,0.0,0
2020-11-19,66.70999908447266,67.72000122070312,66.47000122070312,67.72000122070312,25928500,68.55825,67.72000122070312,0.0,0
2020-11-23,68.80999755859375,71.31999969482422,68.5,71.29000091552734,38662400,69.083374,71.29000091552734,0.0,0
2020-11-24,71.05000305175781,74.88999938964844,70.18000030517578,74.80000305175781,49842200,69.8123,74.80000305175781,0.0,0
2020-11-25,73.80000305175781,75.9000015258789,73.61000061035156,75.5,36269100,70.70983,75.5,0.0,0
2020-11-26,75.41999816894531,76.5999984741211,75.4000015258789,76.56999969482422,20359000,71.718475,76.56999969482422,0.0,0
2020-11-27,77.0,78.77999877929688,76.7699966430664,78.19999694824219,35777100,72.863266,78.19999694824219,0.0,0
2020-11-30,78.8499984741211,79.36000061035156,77.12000274658203,78.0,48594200,74.10647,78.0,0.0,0
2020-12-01,79.83000183105469,81.5,79.25,81.25,61441200,75.46593,81.25,0.0,0
2020-12-02,80.9000015258789,81.25,77.30999755859375,79.83999633789062,53703300,76.81849,79.83999633789062,0.0,0
2020-12-03,81.0,81.05000305175781,78.61000061035156,78.95999908447266,35158600,78.07796,78.95999908447266,0.0,0
2020-12-04,80.0999984741211,82.68000030517578,80.0999984741211,82.2699966430664,38441000,79.27684,82.2699966430664,0.0,0
2020-12-07,82.41999816894531,82.98999786376953,81.66999816894531,82.94999694824219,27398500,80.40989,82.94999694824219,0.0,0
2020-12-08,82.97000122070312,83.30000305175781,81.66000366210938,82.9000015258789,28598800,81.46908,82.9000015258789,0.0,0
2020-12-09,83.0999984741211,83.83000183105469,82.22000122070312,82.69999694824219,26938500,82.44179,82.69999694824219,0.0,0
2020-12-10,83.6500015258789,85.22000122070312,83.19999694824219,85.0,41230700,83.38976,85.0,0.0,0
2020-12-11,84.62000274658203,85.27999877929688,84.4000015258789,84.76000213623047,17825100,84.25621,84.76000213623047,0.0,0
2020-12-14,85.19999694824219,85.22000122070312,82.94999694824219,83.55000305175781,20931700,85.03077,83.55000305175781,0.0,0
2020-12-15,83.55000305175781,85.37999725341797,83.55000305175781,84.5,18762800,85.70285,84.5,0.0,0
2020-12-16,84.9000015258789,86.2300033569336,84.36000061035156,86.22000122070312,23038300,86.327515,86.22000122070312,0.0,0
2020-12-17,86.5,87.94999694824219,86.16999816894531,87.19999694824219,21367800,86.94845,87.19999694824219,0.0,0
2020-12-18,87.62000274658203,88.3499984741211,87.43000030517578,88.19000244140625,13534400,87.56478,88.19000244140625,0.0,0
2020-12-21,86.1500015258789,87.4000015258789,84.77999877929688,86.86000061035156,31877300,88.141,86.86000061035156,0.0,0
2020-12-22,86.86000061035156,86.98999786376953,85.43000030517578,86.94000244140625,23157000,88.64974,86.94000244140625,0.0,0
2020-12-23,86.52999877929688,87.52999877929688,86.4000015258789,87.36000061035156,17710200,89.09571,87.36000061035156,0.0,0
2020-12-28,87.79000091552734,88.58000183105469,87.08000183105469,87.30999755859375,26001300,89.52499,87.30999755859375,0.0,0
2020-12-29,87.97000122070312,88.19999694824219,86.51000213623047,87.06999969482422,19727500,89.90492,87.06999969482422,0.0,0
2020-12-30,87.19000244140625,87.58999633789062,86.6500015258789,87.44999694824219,30102700,90.24737,87.44999694824219,0.0,0
