,open,high,low,close,adjclose,volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2020-09-10,60.0,60.20000076293945,58.31999969482422,58.529998779296875,56.18147277832031,19431400,61.672184,58.86000061035156,5.490711212158203,0.0
2020-09-11,60.04999923706055,62.29999923706055,59.84000015258789,61.95000076293945,59.4642448425293,46057000,61.655777,58.31999969482422,0.0,-2.1915321350097656
2020-09-22,58.13999938964844,58.279998779296875,57.150001525878906,57.810001373291016,57.810001373291016,23996200,63.31631,63.0,5.506309509277344,0.0
2020-09-25,58.349998474121094,59.45000076293945,58.20000076293945,59.25,59.25,27582200,62.559513,61.95000076293945,3.3095130920410156,0.0
2020-10-06,60.0099983215332,60.279998779296875,58.209999084472656,58.619998931884766,58.619998931884766,21951600,60.68641,60.2599983215332,2.0664100646972656,0.0
2020-10-15,62.40999984741211,62.86000061035156,61.97999954223633,62.470001220703125,62.470001220703125,16309700,62.729614,63.34000015258789,0.259613037109375,0.0
2020-10-26,62.900001525878906,63.45000076293945,62.0099983215332,62.5,62.5,18250900,68.09237,66.97000122070312,5.592369079589844,0.0
2020-11-06,62.380001068115234,63.959999084472656,62.34000015258789,63.34000015258789,63.34000015258789,21039200,71.512405,78.0,8.172405242919922,0.0
2020-11-16,63.5,65.33999633789062,62.970001220703125,64.91999816894531,64.91999816894531,91477900,73.84303,82.9000015258789,8.92303466796875,0.0
2020-11-27,77.0,78.77999877929688,76.7699966430664,78.19999694824219,78.19999694824219,35777100,83.74193,88.19000244140625,5.54193115234375,0.0
2020-12-01,79.83000183105469,81.5,79.25,81.25,81.25,61441200,88.04403,86.94000244140625,6.794029235839844,0.0
2020-12-03,81.0,81.05000305175781,78.61000061035156,78.95999908447266,78.95999908447266,35158600,92.22431,87.30999755859374,13.264312744140625,0.0
