,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-08-01,2.34375,2.4166667461395264,2.25,2.4166667461395264,2.4166667461395264,3588000,AMZN,4.499635,2.125,0.0,-2.0829684734344482
1997-08-13,2.2291667461395264,2.2291667461395264,2.1666667461395264,2.1979167461395264,2.1979167461395264,590400,AMZN,5.5296855,2.5520832538604736,3.331768751144409,0.0
1997-08-27,2.3072917461395264,2.3229167461395264,2.25,2.3177082538604736,2.3177082538604736,1392000,AMZN,5.4156976,3.2916667461395264,3.097989320755005,0.0
1997-09-09,3.140625,3.3854167461395264,3.0260417461395264,3.2395832538604736,3.2395832538604736,8971200,AMZN,4.9210553,4.338541507720947,1.6814720630645752,0.0
1997-10-09,4.0,4.020833492279053,3.7395832538604736,3.75,3.75,3950400,AMZN,6.0036025,5.125,2.2536025047302246,0.0
1997-10-17,3.6145832538604736,3.65625,3.5208332538604736,3.625,3.625,2534400,AMZN,6.7914214,4.479166507720947,3.166421413421631,0.0
1997-10-28,3.9166667461395264,5.0,3.875,4.947916507720947,4.947916507720947,11719200,AMZN,4.669487,4.416666507720947,0.0,0.2784295082092285
1997-11-03,5.21875,5.21875,4.947916507720947,5.072916507720947,5.072916507720947,1999200,AMZN,8.928926,4.229166507720947,0.0,-3.8560099601745605
1997-11-04,5.0,5.052083492279053,4.822916507720947,4.958333492279053,4.958333492279053,2365200,AMZN,9.062456,4.203125,0.0,-4.104122638702393
1997-12-17,4.375,4.458333492279053,4.255208492279053,4.390625,4.390625,6140400,AMZN,6.475652,4.260416507720947,0.0,-2.0850272178649902
1997-12-18,4.354166507720947,4.427083492279053,4.229166507720947,4.291666507720947,4.291666507720947,3204000,AMZN,7.435058,4.302083492279053,3.1433916091918945,0.0
1998-01-06,4.697916507720947,4.875,4.666666507720947,4.838541507720947,4.838541507720947,4174800,AMZN,7.3044214,4.770833492279053,0.0,-2.4658799171447754
1998-01-14,4.65625,4.875,4.625,4.875,4.875,8505600,AMZN,6.417816,4.9375,1.542816162109375,0.0
1998-01-21,4.9375,5.166666507720947,4.875,5.072916507720947,5.072916507720947,8738400,AMZN,6.9776845,5.291666507720947,1.9047679901123047,0.0
1998-02-06,4.927083492279053,5.020833492279053,4.875,4.90625,4.90625,2122800,AMZN,8.398962,6.354166507720947,3.4927120208740234,0.0
1998-02-18,5.145833492279053,5.145833492279053,5.052083492279053,5.072916507720947,5.072916507720947,2971200,AMZN,7.5726647,6.635416507720946,2.4997482299804688,0.0
1998-02-19,5.109375,5.291666507720947,5.083333492279053,5.229166507720947,5.229166507720947,4436400,AMZN,7.639469,6.541666507720946,2.4103026390075684,0.0
1998-02-26,5.463541507720947,6.083333492279053,5.4375,6.0625,6.0625,15373200,AMZN,6.420236,7.0,0.35773611068725586,0.0
1998-03-03,6.291666507720947,6.3125,5.958333492279053,5.979166507720947,5.979166507720947,8016000,AMZN,5.1600256,7.020833492279052,-0.8191409111022949,0.0
1998-03-06,6.302083492279053,6.416666507720947,6.145833492279053,6.395833492279053,6.395833492279053,5887200,AMZN,9.449527,7.083333492279053,3.0536932945251465,0.0
1998-03-16,6.630208492279053,6.729166507720947,6.583333492279053,6.583333492279053,6.583333492279053,3312000,AMZN,9.371492,7.385416507720947,2.788158893585205,0.0
1998-03-19,7.114583492279053,7.291666507720947,6.979166507720947,7.0,7.0,12115200,AMZN,10.450462,7.937499999999999,3.4504623413085938,0.0
1998-03-26,6.8125,6.979166507720947,6.625,6.895833492279053,6.895833492279053,7878000,AMZN,8.315483,7.90625,1.419649600982666,0.0
1998-04-13,7.90625,8.020833015441895,7.666666507720947,7.859375,7.859375,10980000,AMZN,8.894025,7.937499999999999,1.0346498489379883,0.0
1998-04-16,8.010416984558105,8.276041984558105,7.765625,8.208333015441895,8.208333015441895,16244400,AMZN,9.663801,7.583333492279052,0.0,-1.4554681777954102
1998-04-21,7.9375,7.947916507720947,7.59375,7.755208492279053,7.755208492279053,8354400,AMZN,10.575444,7.614583492279053,0.0,-2.8202357292175293
1998-04-22,7.770833492279053,7.802083492279053,7.25,7.270833492279053,7.270833492279053,11301600,AMZN,9.85543,7.739583492279053,2.5845961570739746,0.0
